pos,prk,name,team,bye,inj,age,exp,pts,value,lvalue,owner,bid,notes
WR,105,Brandon Gibson,MIA,6,,25,4,57,,,,,
WR,106,Kenny Stills,NO,7,,21,R,55,,,,,
WR,107,Jarius Wright,MIN,5,,23,1,54,,,,,
WR,108,Justin Hunter,TEN,8,,22,R,53,,,,,
WR,109,Ted Ginn,CAR,4,,28,6,53,,,,,
WR,110,Andre Caldwell,DEN,9,,28,5,51,,,,,
WR,111,Doug Baldwin  ,SEA,12,,24,2,50,,,,,
WR,112,Nick Toon,NO,7,,24,1,50,,,,,
WR,113,Marcus Easley,BUF,12,,25,3,49,,,,,
WR,114,Donald Jones,NE,10,,25,3,47,,,,,
WR,115,Donnie Avery,KC,10,,29,5,46,,,,,
WR,116,Patrick Edwards,DET,9,,24,1,46,,,,,
WR,117,Percy Harvin  ,SEA,12,,25,4,44,,,,,
WR,118,Ryan Swope,ARI,9,,22,R,44,,,,,
WR,119,Kevin Walter,TEN,8,,32,10,40,,,,,
WR,120,Lestar Jean,HOU,8,,25,2,40,,,,,
WR,121,Brad Smith,BUF,12,,29,7,39,,,,,
WR,122,Michael Crabtree,SF,9,,25,4,38,,,,,
WR,123,DeVier Posey,HOU,8,,23,1,38,,,,,
WR,124,Jordan Shipley,JAX,9,,27,3,38,,,,,
WR,125,Armon Binns,MIA,6,,23,2,37,,,,,
WR,126,Aldrick Robinson,WAS,5,,24,2,36,,,,,
WR,127,Michael Jenkins,NE,10,,31,9,36,,,,,
WR,128,Mario Manningham  ,SF,9,,27,5,34,,,,,
WR,129,Brice Butler,OAK,7,,23,R,33,,,,,
WR,130,Damaris Johnson  ,PHI,12,,23,1,33,,,,,
WR,131,Marquess Wilson,CHI,8,,20,R,31,,,,,
WR,132,Chris Harper,SEA,12,,23,R,31,,,,,
WR,133,Juron Criner,OAK,7,,23,1,31,,,,,
WR,134,David Nelson,CLE,10,,26,3,30,,,,,
WR,135,Josh Cribbs,OAK,7,,30,8,29,,,,,
WR,136,Quinton Patton  ,SF,9,,22,R,29,,,,,
WR,137,Stedman Bailey,STL,11,,22,R,29,,,,,
WR,138,Robert Meachem,SD,8,,28,6,28,,,,,
WR,139,Clyde Gates,NYJ,10,,27,2,28,,,,,
WR,140,Josh Boyce  ,NE,10,,,R,28,,,,,
WR,141,Ace Sanders,JAX,9,,21,R,27,,,,,
WR,142,Ramses Barden,NYG,9,,27,4,27,,,,,
WR,143,Early Doucet,SEA,12,,27,5,26,,,,,
WR,144,Arrelious Benn  ,PHI,12,,24,3,26,,,,,
WR,145,Austin Pettis,STL,11,,25,2,25,,,,,
WR,146,Armanti Edwards,CAR,4,,25,3,25,,,,,
WR,147,Eddie Royal,SD,8,,27,5,24,,,,,
WR,148,Keshawn Martin,HOU,8,,23,1,24,,,,,
WR,149,Kris Durham,DET,9,,25,2,24,,,,,
WR,150,Tandon Doss,BAL,8,,23,2,23,,,,,
WR,151,Ricardo Lockette,SF,9,,27,2,22,,,,,
WR,152,Jeff Fuller,MIA,6,,23,1,22,,,,,
WR,153,Travis Benjamin,CLE,10,,23,1,20,,,,,
WR,154,Tommy Streeter,BAL,8,,23,1,20,,,,,
WR,155,Louis Murphy,NYG,9,,26,4,18,,,,,
WR,156,Devery Henderson,---,0,,31,9,17,,,,,
WR,157,Drew Davis,ATL,6,,24,1,17,,,,,
WR,158,David Reed (SUSP:1),BAL,8,,26,3,16,,,,,
WR,159,Greg Salas,PHI,12,,24,2,16,,,,,
WR,160,Dezmon Briscoe,WAS,5,,23,3,15,,,,,
WR,161,David Gettis,CAR,4,,25,3,13,,,,,
